#mw-head,#mw-head,navigation,null
#p-search,#p-search,search,null
/wiki/Pe%CC%8Dh-%C5%8De-j%C4%AB,/wiki/Pe%CC%8Dh-%C5%8De-j%C4%AB,POJ,Pe̍h-ōe-jī
/wiki/Eastern_Min,/wiki/Eastern_Min,Eastern Min,Eastern Min
/wiki/Fuzhou_dialect,/wiki/Fuzhou_dialect,Fuzhou,Fuzhou dialect
/wiki/Foochow_Romanized,/wiki/Foochow_Romanized,BUC,Foochow Romanized
/wiki/Vietnamese_language,/wiki/Vietnamese_language,Vietnamese,Vietnamese language
https://en.wiktionary.org/wiki/T%E1%BA%BFt_Trung_Thu,https://en.wiktionary.org/wiki/T%E1%BA%BFt_Trung_Thu,Tết Trung Thu,wikt:Tết Trung Thu
/wiki/Ch%E1%BB%AF_N%C3%B4m,/wiki/Ch%E1%BB%AF_N%C3%B4m,Chữ Nôm,Chữ Nôm
https://en.wiktionary.org/wiki/%E7%AF%80,https://en.wiktionary.org/wiki/%E7%AF%80,節,wikt:節
https://en.wiktionary.org/wiki/%E4%B8%AD,https://en.wiktionary.org/wiki/%E4%B8%AD,中,wikt:中
https://en.wiktionary.org/wiki/%E7%A7%8B,https://en.wiktionary.org/wiki/%E7%A7%8B,秋,wikt:秋
/wiki/Harvest_festival,/wiki/Harvest_festival,harvest festival,Harvest festival
/wiki/Chinese_people,/wiki/Chinese_people,Chinese,Chinese people
/wiki/Vietnamese_people,/wiki/Vietnamese_people,Vietnamese,Vietnamese people
#cite_note-xinhua-1,#cite_note-xinhua-1,[1],null
#cite_note-vietnam-nguyen-2,#cite_note-vietnam-nguyen-2,[2],null
/wiki/Lunar_calendar,/wiki/Lunar_calendar,lunar calendar,Lunar calendar
/wiki/Full_moon,/wiki/Full_moon,full moon,Full moon
/wiki/Gregorian_calendar,/wiki/Gregorian_calendar,Gregorian calendar,Gregorian calendar
#cite_note-3,#cite_note-3,[3],null
#cite_note-4,#cite_note-4,[4],null
#cite_note-5,#cite_note-5,[5],null
#cite_note-6,#cite_note-6,[6],null
#cite_note-7,#cite_note-7,[7],null
#Alternative_names,#Alternative_names,null,null
#Meanings_of_the_festival,#Meanings_of_the_festival,null,null
#Origins_and_development,#Origins_and_development,null,null
#Moon_worship,#Moon_worship,null,null
#Modern_celebration,#Modern_celebration,null,null
#Lanterns,#Lanterns,null,null
#Mooncakes,#Mooncakes,null,null
#Other_foods_and_food_displays,#Other_foods_and_food_displays,null,null
#Courtship_and_matchmaking,#Courtship_and_matchmaking,null,null
#Games_and_activities,#Games_and_activities,null,null
#Practices_by_region_and_cultures,#Practices_by_region_and_cultures,null,null
#Xiamen,#Xiamen,null,null
#Hong_Kong_and_Macau,#Hong_Kong_and_Macau,null,null
#Ethnic_minorities_in_China,#Ethnic_minorities_in_China,null,null
#Vietnam,#Vietnam,null,null
#Philippines,#Philippines,null,null
#Taiwan,#Taiwan,null,null
#Similar_traditions_in_other_parts_of_Asia,#Similar_traditions_in_other_parts_of_Asia,null,null
#India,#India,null,null
#Japan,#Japan,null,null
#Korea,#Korea,null,null
#Southeast_Asia,#Southeast_Asia,null,null
#Cambodia,#Cambodia,null,null
#Laos,#Laos,null,null
#Myanmar,#Myanmar,null,null
#Sri_Lanka,#Sri_Lanka,null,null
#Dates,#Dates,null,null
#See_also,#See_also,null,null
#References,#References,null,null
#External_links,#External_links,null,null
/w/index.php?title=Mid-Autumn_Festival&action=edit&section=1,/w/index.php?title=Mid-Autumn_Festival&action=edit&section=1,edit,Edit section: Alternative names
/wiki/Mandarin_Chinese,/wiki/Mandarin_Chinese,Mandarin Chinese,Mandarin Chinese
/wiki/Lantern_Festival,/wiki/Lantern_Festival,Lantern Festival,Lantern Festival
#cite_note-minority-li-8,#cite_note-minority-li-8,[8],null
#cite_note-lee-9,#cite_note-lee-9,[9],null
/w/index.php?title=Mid-Autumn_Festival&action=edit&section=2,/w/index.php?title=Mid-Autumn_Festival&action=edit&section=2,edit,Edit section: Meanings of the festival
#cite_note-siu-10,#cite_note-siu-10,[10],null
/w/index.php?title=Mid-Autumn_Festival&action=edit&section=3,/w/index.php?title=Mid-Autumn_Festival&action=edit&section=3,edit,Edit section: Origins and development
/wiki/Shang_dynasty,/wiki/Shang_dynasty,Shang dynasty,Shang dynasty
/wiki/Hakka_people,/wiki/Hakka_people,Hakka people,Hakka people
#cite_note-yu-11,#cite_note-yu-11,[11],null
/wiki/Baiyue,/wiki/Baiyue,Baiyue,Baiyue
/wiki/Tang_dynasty,/wiki/Tang_dynasty,Tang dynasty,Tang dynasty
/wiki/Emperor_Xuanzong_of_Tang,/wiki/Emperor_Xuanzong_of_Tang,Emperor Xuanzong of Tang,Emperor Xuanzong of Tang
/wiki/Rites_of_Zhou,/wiki/Rites_of_Zhou,Rites of Zhou,Rites of Zhou
/wiki/Western_Zhou_dynasty,/wiki/Western_Zhou_dynasty,Western Zhou dynasty,Western Zhou dynasty
/wiki/Empress_Dowager_Cixi,/wiki/Empress_Dowager_Cixi,Empress Dowager Cixi,Empress Dowager Cixi
#cite_note-roy-12,#cite_note-roy-12,[12],null
/w/index.php?title=Mid-Autumn_Festival&action=edit&section=4,/w/index.php?title=Mid-Autumn_Festival&action=edit&section=4,edit,Edit section: Moon worship
/wiki/File:Chang%27e_flies_to_the_moon_-_Project_Gutenberg_eText_15250.jpg,/wiki/File:Chang%27e_flies_to_the_moon_-_Project_Gutenberg_eText_15250.jpg,null,null
/wiki/Houyi,/wiki/Houyi,Hou Yi,Houyi
/wiki/Menstruation,/wiki/Menstruation,menstruation,Menstruation
/wiki/Zhuang_people,/wiki/Zhuang_people,Zhuang people,Zhuang people
/wiki/Chang%27e,/wiki/Chang%27e,Chang'e,Chang'e
#cite_note-handbook-13,#cite_note-handbook-13,[13],null
/w/index.php?title=Peng_Meng&action=edit&redlink=1,/w/index.php?title=Peng_Meng&action=edit&redlink=1,Peng Meng,Peng Meng (page does not exist)
/wiki/Xiwangmu,/wiki/Xiwangmu,Xiwangmu,Xiwangmu
/w/index.php?title=Mid-Autumn_Festival&action=edit&section=5,/w/index.php?title=Mid-Autumn_Festival&action=edit&section=5,edit,Edit section: Modern celebration
#cite_note-stepanchuk-14,#cite_note-stepanchuk-14,[14],null
/wiki/Incense,/wiki/Incense,incense,Incense
/wiki/Dragon_dance,/wiki/Dragon_dance,dragon,Dragon dance
/wiki/Lion_dance,/wiki/Lion_dance,lion dances,Lion dance
/w/index.php?title=Mid-Autumn_Festival&action=edit&section=6,/w/index.php?title=Mid-Autumn_Festival&action=edit&section=6,edit,Edit section: Lanterns
/wiki/File:Mid-Autumn_Festival,_Chinatown_32,_102006.JPG,/wiki/File:Mid-Autumn_Festival,_Chinatown_32,_102006.JPG,null,null
/wiki/File:HK_SYP_Queen%27s_Road_West_Mid-Autumn_Festival_Lanterns_01_Shop.JPG,/wiki/File:HK_SYP_Queen%27s_Road_West_Mid-Autumn_Festival_Lanterns_01_Shop.JPG,null,null
/wiki/Lantern,/wiki/Lantern,lanterns,Lantern
/wiki/Sky_lantern,/wiki/Sky_lantern,sky lanterns,Sky lantern
/wiki/Pinyin,/wiki/Pinyin,pinyin,Pinyin
#cite_note-yang-15,#cite_note-yang-15,[15],null
/wiki/Ghost_Festival,/wiki/Ghost_Festival,Ghost Festival,Ghost Festival
/wiki/Qing_dynasty,/wiki/Qing_dynasty,Qing dynasty,Qing dynasty
#cite_note-cohen-16,#cite_note-cohen-16,[16],null
/wiki/Papier-m%C3%A2ch%C3%A9,/wiki/Papier-m%C3%A2ch%C3%A9,papier-mâché,Papier-mâché
/wiki/L%C3%BD_dynasty,/wiki/L%C3%BD_dynasty,Lý dynasty,Lý dynasty
/wiki/Pok%C3%A9mon,/wiki/Pok%C3%A9mon,Pokémon,Pokémon
/wiki/Pikachu,/wiki/Pikachu,Pikachu,Pikachu
/wiki/Disney,/wiki/Disney,Disney,Disney
/wiki/SpongeBob_SquarePants,/wiki/SpongeBob_SquarePants,SpongeBob SquarePants,SpongeBob SquarePants
/wiki/Hello_Kitty,/wiki/Hello_Kitty,Hello Kitty,Hello Kitty
/w/index.php?title=Mid-Autumn_Festival&action=edit&section=7,/w/index.php?title=Mid-Autumn_Festival&action=edit&section=7,edit,Edit section: Mooncakes
/wiki/File:Moon_Cakes.jpg,/wiki/File:Moon_Cakes.jpg,null,null
/wiki/File:Banhtrungthu.jpg,/wiki/File:Banhtrungthu.jpg,null,null
/wiki/Wikipedia:Citation_needed,/wiki/Wikipedia:Citation_needed,citation needed,Wikipedia:Citation needed
#cite_note-chiculture1-17,#cite_note-chiculture1-17,[17],null
/wiki/Cinnamomum_cassia,/wiki/Cinnamomum_cassia,cassia,Cinnamomum cassia
/wiki/Pagoda,/wiki/Pagoda,pagoda,Pagoda
/wiki/Turpan,/wiki/Turpan,Turpan,Turpan
/wiki/Emperor_Taizong_of_Tang,/wiki/Emperor_Taizong_of_Tang,Emperor Taizong of Tang,Emperor Taizong of Tang
/wiki/Xiongnu,/wiki/Xiongnu,Xiongnu,Xiongnu
#cite_note-18,#cite_note-18,[18],null
/wiki/Mooncakes,/wiki/Mooncakes,mooncakes,Mooncakes
/wiki/Song_dynasty,/wiki/Song_dynasty,Song dynasty,Song dynasty
/wiki/Han_Chinese,/wiki/Han_Chinese,Han Chinese,Han Chinese
/wiki/Mongols,/wiki/Mongols,Mongols,Mongols
/wiki/Yuan_dynasty,/wiki/Yuan_dynasty,Yuan dynasty,Yuan dynasty
/w/index.php?title=Mid-Autumn_Festival&action=edit&section=8,/w/index.php?title=Mid-Autumn_Festival&action=edit&section=8,edit,Edit section: Other foods and food displays
/wiki/File:Chinesischer_Duftwein_Flasche.jpg,/wiki/File:Chinesischer_Duftwein_Flasche.jpg,null,null
/wiki/File:T%C3%B2_he.JPG,/wiki/File:T%C3%B2_he.JPG,null,null
/wiki/Tea,/wiki/Tea,tea,Tea
#cite_note-19,#cite_note-19,[19],null
#cite_note-20,#cite_note-20,[20],null
#cite_note-21,#cite_note-21,[21],null
/wiki/Pomegranate,/wiki/Pomegranate,pomegranates,Pomegranate
/wiki/Pomelo,/wiki/Pomelo,pomelos,Pomelo
#cite_note-tom-22,#cite_note-tom-22,[22],null
/wiki/Jade_Rabbit,/wiki/Jade_Rabbit,Jade Rabbit,Jade Rabbit
/wiki/Xu%C3%A2n_La,_T%C3%A2y_H%E1%BB%93,/wiki/Xu%C3%A2n_La,_T%C3%A2y_H%E1%BB%93,Xuân La,Xuân La, Tây Hồ
/wiki/Hanoi,/wiki/Hanoi,Hanoi,Hanoi
/w/index.php?title=Mid-Autumn_Festival&action=edit&section=9,/w/index.php?title=Mid-Autumn_Festival&action=edit&section=9,edit,Edit section: Courtship and matchmaking
/w/index.php?title=Daguang&action=edit&redlink=1,/w/index.php?title=Daguang&action=edit&redlink=1,Daguang,Daguang (page does not exist)
/wiki/Guizhou_Province,/wiki/Guizhou_Province,Guizhou Province,Guizhou Province
/wiki/Dong_people,/wiki/Dong_people,Dong people,Dong people
/w/index.php?title=Mid-Autumn_Festival&action=edit&section=10,/w/index.php?title=Mid-Autumn_Festival&action=edit&section=10,edit,Edit section: Games and activities
/wiki/Guangdong,/wiki/Guangdong,Guangdong,Guangdong
/wiki/Chinese_language,/wiki/Chinese_language,Chinese,Chinese language
/wiki/Eight_Immortals,/wiki/Eight_Immortals,Eight Immortals,Eight Immortals
/w/index.php?title=Mid-Autumn_Festival&action=edit&section=11,/w/index.php?title=Mid-Autumn_Festival&action=edit&section=11,edit,Edit section: Practices by region and cultures
/wiki/File:Montreal_JBotanique2_tango7174.jpg,/wiki/File:Montreal_JBotanique2_tango7174.jpg,null,null
/wiki/Montreal,/wiki/Montreal,Montreal,Montreal
/wiki/File:Chinese_Mid-Autumn_Festival,_Belfast,_September_2012_(10).JPG,/wiki/File:Chinese_Mid-Autumn_Festival,_Belfast,_September_2012_(10).JPG,null,null
/wiki/Belfast,_Northern_Ireland,/wiki/Belfast,_Northern_Ireland,Belfast, Northern Ireland,Belfast, Northern Ireland
/wiki/File:Mid-Autumn_Festival_21,_Chinatown,_Singapore,_Sep_06.JPG,/wiki/File:Mid-Autumn_Festival_21,_Chinatown,_Singapore,_Sep_06.JPG,null,null
/wiki/Chinatown,_Singapore,/wiki/Chinatown,_Singapore,Chinatown, Singapore,Chinatown, Singapore
/wiki/File:Mid-Autumn_Festival1.JPG,/wiki/File:Mid-Autumn_Festival1.JPG,null,null
/wiki/Victoria_Park,_Hong_Kong,/wiki/Victoria_Park,_Hong_Kong,Victoria Park, Hong Kong,Victoria Park, Hong Kong
/w/index.php?title=Mid-Autumn_Festival&action=edit&section=12,/w/index.php?title=Mid-Autumn_Festival&action=edit&section=12,edit,Edit section: Xiamen
/wiki/Xiamen,/wiki/Xiamen,Xiamen,Xiamen
#cite_note-:0-23,#cite_note-:0-23,[23],null
/w/index.php?title=Mid-Autumn_Festival&action=edit&section=13,/w/index.php?title=Mid-Autumn_Festival&action=edit&section=13,edit,Edit section: Hong Kong and Macau
/wiki/File:25_Largo_do_Senado,_Macau_-_panoramio.jpg,/wiki/File:25_Largo_do_Senado,_Macau_-_panoramio.jpg,null,Enlarge
/wiki/Senado_Square,/wiki/Senado_Square,Senado Square,Senado Square
/wiki/Environmental_protection,/wiki/Environmental_protection,environmental protection,Environmental protection
/wiki/Packaging,/wiki/Packaging,packaging,Packaging
#cite_note-hkepd-1-24,#cite_note-hkepd-1-24,[24],null
/wiki/Ice-cream,/wiki/Ice-cream,ice-cream mooncake,Ice-cream
/wiki/Snow_skin_mooncake,/wiki/Snow_skin_mooncake,snow skin mooncake,Snow skin mooncake
/w/index.php?title=Mid-Autumn_Festival&action=edit&section=14,/w/index.php?title=Mid-Autumn_Festival&action=edit&section=14,edit,Edit section: Ethnic minorities in China
/wiki/Yanbian_Korean_Autonomous_Prefecture,/wiki/Yanbian_Korean_Autonomous_Prefecture,Yanbian Korean Autonomous Prefecture,Yanbian Korean Autonomous Prefecture
/wiki/Bouyei_people,/wiki/Bouyei_people,Bouyei people,Bouyei people
/wiki/Tu_people,/wiki/Tu_people,Tu people,Tu people
/wiki/Maonan_people,/wiki/Maonan_people,Maonan people,Maonan people
/w/index.php?title=Mid-Autumn_Festival&action=edit&section=15,/w/index.php?title=Mid-Autumn_Festival&action=edit&section=15,edit,Edit section: Vietnam
/wiki/File:Den_ong_sao.JPG,/wiki/File:Den_ong_sao.JPG,null,Enlarge
/wiki/Animism,/wiki/Animism,animist,Animism
/wiki/Banyan,/wiki/Banyan,banyan,Banyan
#cite_note-tet-25,#cite_note-tet-25,[25],null
/wiki/Lucky_money,/wiki/Lucky_money,lucky money,Lucky money
/w/index.php?title=Mid-Autumn_Festival&action=edit&section=16,/w/index.php?title=Mid-Autumn_Festival&action=edit&section=16,edit,Edit section: Philippines
/wiki/Philippines,/wiki/Philippines,Philippines,Philippines
/wiki/Chinese_Filipino,/wiki/Chinese_Filipino,Filipino-Chinese,Chinese Filipino
/wiki/Pua_Tiong_Chiu,/wiki/Pua_Tiong_Chiu,Pua Tiong Chiu,Pua Tiong Chiu
/wiki/Philippine_Hokkien,/wiki/Philippine_Hokkien,Philippine Hokkien,Philippine Hokkien
https://zh.wikipedia.org/wiki/%E4%B8%AD%E7%A7%8B%E5%8D%9A%E9%A5%BC,https://zh.wikipedia.org/wiki/%E4%B8%AD%E7%A7%8B%E5%8D%9A%E9%A5%BC,中秋博饼,zh-tw:中秋博饼
#cite_note-26,#cite_note-26,[26],null
/w/index.php?title=Mid-Autumn_Festival&action=edit&section=17,/w/index.php?title=Mid-Autumn_Festival&action=edit&section=17,edit,Edit section: Taiwan
#cite_note-27,#cite_note-27,[27],null
/wiki/Taipei_City,/wiki/Taipei_City,Taipei City,Taipei City
#cite_note-28,#cite_note-28,[28],null
/w/index.php?title=Mid-Autumn_Festival&action=edit&section=18,/w/index.php?title=Mid-Autumn_Festival&action=edit&section=18,edit,Edit section: Similar traditions in other parts of Asia
/w/index.php?title=Mid-Autumn_Festival&action=edit&section=19,/w/index.php?title=Mid-Autumn_Festival&action=edit&section=19,edit,Edit section: India
/wiki/Sharad_Purnima,/wiki/Sharad_Purnima,Sharad Purnima,Sharad Purnima
/wiki/Ashvin,/wiki/Ashvin,Ashvin,Ashvin
/w/index.php?title=Mid-Autumn_Festival&action=edit&section=20,/w/index.php?title=Mid-Autumn_Festival&action=edit&section=20,edit,Edit section: Japan
/w/index.php?title=Mid-Autumn_Festival&action=edit&section=21,/w/index.php?title=Mid-Autumn_Festival&action=edit&section=21,edit,Edit section: Korea
/wiki/Songpyeon,/wiki/Songpyeon,songpyeon,Songpyeon
/w/index.php?title=Mid-Autumn_Festival&action=edit&section=22,/w/index.php?title=Mid-Autumn_Festival&action=edit&section=22,edit,Edit section: Southeast Asia
#cite_note-29,#cite_note-29,[29],null
#cite_note-30,#cite_note-30,[30],null
/w/index.php?title=Mid-Autumn_Festival&action=edit&section=23,/w/index.php?title=Mid-Autumn_Festival&action=edit&section=23,edit,Edit section: Cambodia
/wiki/Cambodia,/wiki/Cambodia,Cambodia,Cambodia
/wiki/Chinese_Cambodian,/wiki/Chinese_Cambodian,Chinese Cambodian,Chinese Cambodian
/wiki/Khmer_people,/wiki/Khmer_people,Khmer people,Khmer people
#cite_note-31,#cite_note-31,[31],null
#cite_note-32,#cite_note-32,[32],null
#cite_note-33,#cite_note-33,[33],null
/w/index.php?title=Mid-Autumn_Festival&action=edit&section=24,/w/index.php?title=Mid-Autumn_Festival&action=edit&section=24,edit,Edit section: Laos
/wiki/That_Luang_Festival,/wiki/That_Luang_Festival,That Luang Festival,That Luang Festival
/wiki/Vientiane,/wiki/Vientiane,Vientiane,Vientiane
#cite_note-34,#cite_note-34,[34],null
/w/index.php?title=Mid-Autumn_Festival&action=edit&section=25,/w/index.php?title=Mid-Autumn_Festival&action=edit&section=25,edit,Edit section: Myanmar
/wiki/Thadingyut_Festival,/wiki/Thadingyut_Festival,Thadingyut Festival,Thadingyut Festival
/wiki/Thingyan,/wiki/Thingyan,Thingyan,Thingyan
#cite_note-35,#cite_note-35,[35],null
#cite_note-36,#cite_note-36,[36],null
/w/index.php?title=Mid-Autumn_Festival&action=edit&section=26,/w/index.php?title=Mid-Autumn_Festival&action=edit&section=26,edit,Edit section: Sri Lanka
/wiki/Poya,/wiki/Poya,Poya,Poya
#cite_note-Mid-Autumn_Festival_celebrations-37,#cite_note-Mid-Autumn_Festival_celebrations-37,[37],null
#cite_note-Mid-Autumn_Festival_in_Asia-38,#cite_note-Mid-Autumn_Festival_in_Asia-38,[38],null
#cite_note-39,#cite_note-39,[39],null
#cite_note-40,#cite_note-40,[40],null
#cite_note-41,#cite_note-41,[41],null
/w/index.php?title=Mid-Autumn_Festival&action=edit&section=27,/w/index.php?title=Mid-Autumn_Festival&action=edit&section=27,edit,Edit section: Dates
/wiki/Chinese_calendar,/wiki/Chinese_calendar,Han calendar,Chinese calendar
#cite_note-42,#cite_note-42,[42],null
/w/index.php?title=Mid-Autumn_Festival&action=edit&section=28,/w/index.php?title=Mid-Autumn_Festival&action=edit&section=28,edit,Edit section: See also
/wiki/Agriculture_in_China,/wiki/Agriculture_in_China,Agriculture in China,Agriculture in China
/wiki/Agriculture_in_Vietnam,/wiki/Agriculture_in_Vietnam,Agriculture,Agriculture in Vietnam
/wiki/Chinese_holidays,/wiki/Chinese_holidays,Chinese holidays,Chinese holidays
/wiki/Vietnamese_holidays,/wiki/Vietnamese_holidays,Vietnamese holidays,Vietnamese holidays
/wiki/List_of_harvest_festivals,/wiki/List_of_harvest_festivals,List of harvest festivals,List of harvest festivals
/w/index.php?title=Mid-Autumn_Festival&action=edit&section=29,/w/index.php?title=Mid-Autumn_Festival&action=edit&section=29,edit,Edit section: References
#cite_ref-xinhua_1-0,#cite_ref-xinhua_1-0,a,null
#cite_ref-xinhua_1-1,#cite_ref-xinhua_1-1,b,null
#cite_ref-xinhua_1-2,#cite_ref-xinhua_1-2,c,null
#cite_ref-xinhua_1-3,#cite_ref-xinhua_1-3,d,null
#cite_ref-xinhua_1-4,#cite_ref-xinhua_1-4,e,null
#cite_ref-xinhua_1-5,#cite_ref-xinhua_1-5,f,null
#cite_ref-xinhua_1-6,#cite_ref-xinhua_1-6,g,null
http://news.xinhuanet.com/english2010/culture/2011-09/12/c_131134150.htm,http://news.xinhuanet.com/english2010/culture/2011-09/12/c_131134150.htm,"Mid-Autumn Festival and its traditions",null
#cite_ref-vietnam-nguyen_2-0,#cite_ref-vietnam-nguyen_2-0,a,null
#cite_ref-vietnam-nguyen_2-1,#cite_ref-vietnam-nguyen_2-1,b,null
#cite_ref-vietnam-nguyen_2-2,#cite_ref-vietnam-nguyen_2-2,c,null
#cite_ref-vietnam-nguyen_2-3,#cite_ref-vietnam-nguyen_2-3,d,null
#cite_ref-vietnam-nguyen_2-4,#cite_ref-vietnam-nguyen_2-4,e,null
#cite_ref-vietnam-nguyen_2-5,#cite_ref-vietnam-nguyen_2-5,f,null
#cite_ref-vietnam-nguyen_2-6,#cite_ref-vietnam-nguyen_2-6,g,null
#cite_ref-vietnam-nguyen_2-7,#cite_ref-vietnam-nguyen_2-7,h,null
#cite_ref-vietnam-nguyen_2-8,#cite_ref-vietnam-nguyen_2-8,i,null
#cite_ref-vietnam-nguyen_2-9,#cite_ref-vietnam-nguyen_2-9,j,null
#cite_ref-vietnam-nguyen_2-10,#cite_ref-vietnam-nguyen_2-10,k,null
#cite_ref-vietnam-nguyen_2-11,#cite_ref-vietnam-nguyen_2-11,l,null
#cite_ref-vietnam-nguyen_2-12,#cite_ref-vietnam-nguyen_2-12,m,null
/wiki/International_Standard_Book_Number,/wiki/International_Standard_Book_Number,ISBN,International Standard Book Number
/wiki/Special:BookSources/0520238729,/wiki/Special:BookSources/0520238729,0520238729,Special:BookSources/0520238729
#cite_ref-3,#cite_ref-3,^,null
https://www.travelchinaguide.com/essential/holidays/mid-autumn-asia.htm,https://www.travelchinaguide.com/essential/holidays/mid-autumn-asia.htm,"Mid-Autumn Festival in Other Asian Countries",null
#cite_ref-4,#cite_ref-4,^,null
http://kaleidoscope.cultural-china.com/en/8Kaleidoscope562.html,http://kaleidoscope.cultural-china.com/en/8Kaleidoscope562.html,"A Chinese Symbol of Reunion: Moon Cakes – China culture",null
#cite_ref-5,#cite_ref-5,^,null
https://kwgls.wordpress.com/2014/08/10/back-to-basicsbaked-traditional-mooncake-%E4%BC%A0%E7%BB%9F%E7%B2%A4%E5%BC%8F%E6%9C%88%E9%A5%BC%EF%BC%89/,https://kwgls.wordpress.com/2014/08/10/back-to-basicsbaked-traditional-mooncake-%E4%BC%A0%E7%BB%9F%E7%B2%A4%E5%BC%8F%E6%9C%88%E9%A5%BC%EF%BC%89/,"Back to Basics: Baked Traditional Moon Cakes",null
#cite_ref-6,#cite_ref-6,^,null
https://www.theatlantic.com/health/archive/2009/10/mooncakes-chinas-evolving-tradition/27723/,https://www.theatlantic.com/health/archive/2009/10/mooncakes-chinas-evolving-tradition/27723/,"Mooncakes: China's Evolving Tradition",null
#cite_ref-7,#cite_ref-7,^,null
http://www.scio.gov.cn/32618/Document/1490259/1490259.htm,http://www.scio.gov.cn/32618/Document/1490259/1490259.htm,"Customs around the Mid-Autumn Festival",null
#cite_ref-minority-li_8-0,#cite_ref-minority-li_8-0,a,null
#cite_ref-minority-li_8-1,#cite_ref-minority-li_8-1,b,null
#cite_ref-minority-li_8-2,#cite_ref-minority-li_8-2,c,null
#cite_ref-minority-li_8-3,#cite_ref-minority-li_8-3,d,null
#cite_ref-minority-li_8-4,#cite_ref-minority-li_8-4,e,null
#cite_ref-minority-li_8-5,#cite_ref-minority-li_8-5,f,null
#cite_ref-minority-li_8-6,#cite_ref-minority-li_8-6,g,null
#cite_ref-minority-li_8-7,#cite_ref-minority-li_8-7,h,null
#cite_ref-minority-li_8-8,#cite_ref-minority-li_8-8,i,null
/wiki/Special:BookSources/7508509994,/wiki/Special:BookSources/7508509994,7508509994,Special:BookSources/7508509994
#cite_ref-lee_9-0,#cite_ref-lee_9-0,a,null
#cite_ref-lee_9-1,#cite_ref-lee_9-1,b,null
#cite_ref-lee_9-2,#cite_ref-lee_9-2,c,null
/wiki/Special:BookSources/0313350663,/wiki/Special:BookSources/0313350663,0313350663,Special:BookSources/0313350663
#cite_ref-siu_10-0,#cite_ref-siu_10-0,a,null
#cite_ref-siu_10-1,#cite_ref-siu_10-1,b,null
#cite_ref-siu_10-2,#cite_ref-siu_10-2,c,null
